id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
32R7r1j2r13XwF62fT8sNt,Manasellam Mazhaiye,Sonu Nigam,Saguni,2012-10-26,0.7681159420289855,0.7608566468196171,"kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop",https://i.scdn.co/image/ab67616d0000b273b3fa398758a0c540c430e29f
5R8xtyAKDas6hRCXxR9ho6,Un Paarvaiyil,Karthik,Something Something Unakkum Enakkum (Original Motion Picture Soundtrack),2006-12-01,0.5362318840579711,0.8362630064201904,"telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood",https://i.scdn.co/image/ab67616d0000b273ea673dca23e60cfe27f7b888
78tblPcz2otRZd1VOeU7zz,"Kanja Poovu Kannala (From ""Viruman"")",Yuvan Shankar Raja,"Kanja Poovu Kannala (From ""Viruman"")",2022-05-25,0.8405797101449275,0.5535998508558312,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273ab415bb3b896e5b14f5e2fd0
5uV2TLVmiatn3zWgPkBtqU,O Podu 1,Anuradha Sriram,Gemini,2002-04-10,0.0,0.5596005732728988,"tamil dance, tamil pop, kannada pop, kollywood",https://i.scdn.co/image/ab67616d0000b2733308d67180f5ed044af43378
19O4hCGGm95UhvIyhwnNT5,"Thooriga - From ""Navarasa""",Karthik,"Thooriga (From ""Navarasa"")",2021-07-12,0.8115942028985508,0.4710508837957191,"telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood",https://i.scdn.co/image/ab67616d0000b273801e07e01d372aa56a5a79da
0t0mHozF8Xsif9w8bemh9D,"So Baby (From ""Doctor"")",Anirudh Ravichander,"So Baby (From ""Doctor"")",2021-02-25,0.7971014492753623,0.5887256329888257,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273957531d4fe829eda4de32d83
4tkSvA7zfuhwgHQbEeNEJU,"Kaathodu Kaathanen (From ""Jail"")",G. V. Prakash,"Kaathodu Kaathanen (From ""Jail"")",2020-06-15,0.6956521739130435,0.7224170676858185,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273185a785dc8e94fef273cb248
79A3ymXQlMOeeXLJxh6Uuy,Inayae,Sid Sriram,Thadam (Original Motion Picture Soundtrack),2019-02-06,0.391304347826087,0.49957237570348273,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273e7039fc3977f6ebf40a5ea53
0Tm5ER6IrGfmW0yZ5lkQli,Rowdy Baby,Yuvan Shankar Raja,Rowdy Baby (From 'Maari 2' Original Motion Picture Soundtrack),2018-11-28,0.0,0.6558614823532153,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273d426c226378058ebf471ece6
612T2qs3Xaj72F8M0bj9gL,"Marana Mass - From ""Petta""",Anirudh Ravichander,"Marana Mass (From ""Petta"")",2018-12-07,0.6811594202898551,0.5033615697423767,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2735d8a02be184c2ccb0f88aeb5
7CZYShn64kMixm8gqrTpww,OMG Ponnu,Sid Sriram,Sarkar (Tamil) [Original Motion Picture Soundtrack],2018-10-03,0.7391304347826088,0.6623492536965615,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2733cabfb7bedc90282c17446e2
5l9tSLGgcyJCS310nEXKIH,Vaayadi Petha Pulla,Dhibu Ninan Thomas,Kanaa (Original Motion Picture Soundtrack),2018-08-23,0.6666666666666666,0.5755193829160015,"tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2737653c310bcee929732bd0efa
22cCckQ9DR4E94QhtUzSW3,Karuthavanlaam Galeejaam,Anirudh Ravichander,Velaikkaran (Original Motion Picture Soundtrack),2017-12-04,0.7101449275362319,0.4857975134870605,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273c8f85626cf23f8113c4e0ab9
