Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Cover URL
0ZkVWrdIkkXrvdqT7fv7sF,Shollathaan Innaikkiren (From Kadhal Sugamanthu),Hits of Chitra,K. S. Chithra,2002,302021,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:58:04Z,"malayalam pop,telugu pop,kannada pop,mollywood,tollywood,tamil pop,devotional,sandalwood",Star Music,0.778,0.632,9,-6.953,1,0.0312,0.336,8.25E-05,0.121,0.918,136.838,3,https://i.scdn.co/image/ab67616d0000b27394e04c4f0cb556e9e10a7422
2WO5nzB7QtKn9ZRc9Jkalt,Annul Maelae,Vaaranam Aayiram (Original Motion Picture Soundtrack),"Harris Jayaraj,Sudha Ragunathan",08-10-2008,322506,67,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:25:09Z,"tamil pop,kollywood,tamil dance,devotional",Sony Music Entertainment India Pvt. Ltd.,0.773,0.436,4,-10.972,0,0.0321,0.672,0.00678,0.197,0.533,115.917,4,https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
5h5jgfkYcU92Tt7bHT5Jgx,Poopol Poopol,Minnale (Original Motion Picture Soundtrack),"Harris Jayaraj,Tippu,Karthik",02-01-1962,116706,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:25:23Z,"tamil pop,kollywood,tamil dance,kannada pop,telugu pop,tollywood,sandalwood,malayalam pop,mollywood",Saregama,0.686,0.355,5,-17.217,0,0.0617,0.463,0.0638,0.0477,0.492,103.029,4,https://i.scdn.co/image/ab67616d0000b273b8504efae4eb2430d996ecdb
0DAGFNb2Mn8jYt69rcRnsY,Neeya Pesiyathu,Thirumalai (Original Motion Picture Soundtrack),"Shankar Mahadevan,Yugabharathi",13-04-2003,277853,52,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:25:33Z,"bollywood,marathi pop,bhajan,devotional,desi,tamil dance,hindi pop,tamil pop,sufi,kollywood",New Music,0.739,0.522,7,-8.587,1,0.0383,0.139,3.30E-06,0.0987,0.33,120.02,1,https://i.scdn.co/image/ab67616d0000b2739c141f30aca387de150bb8f7
261mjNl37KlVPVuu2cFl22,Chinna Maharani,Priyasakhi (Original Motion Picture Soundtrack),"Hariharan,Pa. Vijay",30-04-2005,290040,35,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:25:53Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,tamil dance",New Music,0.659,0.614,2,-9.86,0,0.051,0.387,0,0.16,0.424,85.97,4,https://i.scdn.co/image/ab67616d0000b273fade51cc28ad6f136f0cc49b
7leZvkSK0HCGJAFSOaaqpA,Paakatha,Aaru,"Devi Sri Prasad,Tippu,Sumangaly",09-12-2005,261813,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:26:22Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood,kannada pop,sandalwood",Eros Ayangaran,0.767,0.566,8,-9.697,1,0.0459,0.0235,0.0361,0.116,0.75,145.02,4,https://i.scdn.co/image/ab67616d0000b2731e5f14a041de3d6cd339ca86
0249Wjt2twxjF96oTWgnkr,Thoovaanam,Romeo Juliet (Original Motion Picture Soundtrack),"D. Imman,Vishal Dadlani,Sunitha Sarathy",12-03-2015,265500,53,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:27:04Z,"tamil pop,tamil dance,kollywood,bollywood,desi,hindi pop,desi pop,tollywood,tamil hip hop",Sony Music Entertainment India Pvt. Ltd.,0.487,0.609,7,-4.888,0,0.0283,0.568,0.000125,0.2,0.502,159.94,3,https://i.scdn.co/image/ab67616d0000b273a1b7f6c0129ee7bdf0671767
4DjNNA9DIXEBfHJlClhXnp,Senjitaley (From Remo),Senjitaley (From Remo),Anirudh Ravichander,02-07-2016,251333,47,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:28:01Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.655,0.941,1,-5.185,1,0.14,0.476,3.22E-06,0.215,0.344,88.073,4,https://i.scdn.co/image/ab67616d0000b2738463719650085b1cf579bf2c
4mOmWSdTmf6fSAibGWCKp7,Mental Manadhil,O Kadhal Kanmani (Original Motion Picture Soundtrack),"A.R. Rahman,Jonita Gandhi",07-04-2015,205759,61,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:28:22Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance",Sony Music Entertainment India Pvt. Ltd.,0.568,0.886,6,-7.983,0,0.081,0.0123,3.40E-05,0.361,0.846,160.054,4,https://i.scdn.co/image/ab67616d0000b2732318539f1b037d942fafa581
5oxWMyPoNhQvDBofsFJLmX,Mottukkale (From Rojakkottam),Hits of Hariharan,"Hariharan,Sadhana Sargam,Various Artists",22-03-2013,298800,44,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:29:04Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,bollywood,champeta",Star Music,0.504,0.353,11,-14.744,0,0.0452,0.0317,0.000129,0.101,0.29,89.761,4,https://i.scdn.co/image/ab67616d0000b273300c5c6e978b79fb5eb43429
0tdLg7JSZf81seknzIEdlG,Kannum Kannumthaan,Thirupaachi,"Harish Raghavendra,Uma Ramanan",14-12-2004,353626,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:29:31Z,"tamil pop,kollywood,telugu pop,tollywood",Eros Ayangaran,0.661,0.85,2,-4.622,1,0.095,0.178,0.00123,0.354,0.787,179.938,4,https://i.scdn.co/image/ab67616d0000b273620cc7a1bfb1ca69914c492c
1h4fhfxL7IU9jgzZlPEH51,Thaen Thaen,Kuruvi,"Udit Narayan,Shreya Ghoshal",08-08-2008,238600,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:30:04Z,"bollywood,hindi pop,desi,kannada pop,marathi pop,sandalwood,bangla pop",Anak Audio,0.712,0.819,8,-4.565,1,0.0451,0.125,0.000956,0.161,0.655,96.987,4,https://i.scdn.co/image/ab67616d0000b2738fd55ebb4631f806619a82a1
0SSLKt27B0a71OqsPy0uoY,Siragugal,Sarvam,"Yuvan Shankar Raja,Javed Ali,Madhushree",14-02-2009,325930,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T17:30:43Z,"tamil pop,kollywood,tamil dance,tamil hip hop,sufi,bollywood,hindi pop,qawwali,desi,desi pop",Eros Ayangaran,0.642,0.911,10,-3.322,0,0.156,0.216,0.000148,0.102,0.61,170.015,4,https://i.scdn.co/image/ab67616d0000b2738f83ad8b7424503f79b40457
3hnQg76YVK1dFOcXvgFDDz,Azhage Bhramanidam (From Devathayai Kanden),Thenisai Thendral,"Harish Raghavendra,Chinmayi Sripaada",18-11-2019,270930,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:03:38Z,,Divo,0.62,0.805,0,-6.226,1,0.0892,0.286,0,0.265,0.756,149.927,3,https://i.scdn.co/image/ab67616d0000b273c227133cb9aaf44d9fffa01a
2ZqzELrxZZyeTPSR7GZBH4,Yaar Azhaippadhu,Maara (Original Motion Picture Soundtrack),"Ghibran,Sid Sriram",01-01-2021,250325,60,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:05:21Z,"tamil pop,kollywood,devotional,tollywood,telugu pop",Think Music,0.626,0.525,10,-7.417,1,0.0338,0.675,0,0.0645,0.45,114.921,3,https://i.scdn.co/image/ab67616d0000b27361699895865af6c4cfce199e
6kekHWEQ4SyMe5EjYAlveP,High On Love,High On Love (From Pyaar Prema Kaadhal Original Motion Picture Soundtrack),"Yuvan Shankar Raja,Sid Sriram",14-02-2018,240169,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:06:02Z,,Divo,0.63,0.779,4,-4.944,0,0.0392,0.214,9.34E-06,0.112,0.619,149.948,4,https://i.scdn.co/image/ab67616d0000b273156324380810e471c7a036e8
10Zc6GsstyzEMnWB4mTuxE,Verrattaama Verratturiye,Veera (Original Motion Picture Soundtrack),"Leon James,Sid Sriram,Neeti Mohan",23-03-2017,276757,46,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:06:19Z,"tamil pop,kollywood,tollywood,telugu pop,bollywood,hindi pop,desi",Sony Music Entertainment India Pvt. Ltd.,0.453,0.425,11,-9.24,1,0.0275,0.26,0,0.127,0.48,169.866,3,https://i.scdn.co/image/ab67616d0000b27392b2cbee68641b88de97723b
7HAdKnI0krPTeCtG9QsrEx,,,Various Artists,0,0,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:09:44Z,champeta,,0.668,0.616,9,-12.021,0,0.0556,0.0637,0,0.057,0.693,89.931,4,
0T6z2mf5tb3kv208JXgPj9,Nangaai,Engeyum Kadhal (Original Motion Picture Soundtrack),"Harris Jayaraj,Richard",11-11-2010,276653,55,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:10:13Z,"tamil pop,kollywood,tamil dance",Sony Music Entertainment India Pvt. Ltd.,0.928,0.661,2,-7.341,1,0.0464,0.165,0.00104,0.338,0.584,129.029,4,https://i.scdn.co/image/ab67616d0000b2733400267d036e5577446bdaf6
0CmXnoIhxUwHiaSQab2cnM,,,Various Artists,0,0,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:11:07Z,champeta,,0.752,0.723,3,-8.25,0,0.258,0.196,0.000311,0.0598,0.721,165.008,3,
6NwEpX2JUWHVKWfDDfcqC4,Idhazhin Oram - The Innocence of Love,3 (Original Motion Picture Soundtrack),"Anirudh Ravichander,Ajesh",23-12-2011,204866,70,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:11:24Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.65,0.783,7,-6.197,0,0.0377,0.22,3.71E-06,0.182,0.302,109.959,4,https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18
5sDm6BsZKeC8YwLcbdRVus,Palaanadhu Palaanadhu,Kuruvi,"Vidyasagar,Rajalakshmi",08-08-2008,251333,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:11:44Z,"malayalam pop,mollywood,tamil dance,kollywood,tamil pop,kannada pop",Anak Audio,0.769,0.954,7,-3.767,1,0.0742,0.0143,0.0107,0.0853,0.682,128.951,4,https://i.scdn.co/image/ab67616d0000b2738fd55ebb4631f806619a82a1
13nt0ZQGcwH7oPitTFwjPX,Iraiva,Velaikkaran (Original Motion Picture Soundtrack),"Anirudh Ravichander,Jonita Gandhi",04-12-2017,294715,47,65mooourl7zq5yopi6a0jjxp1,2021-02-06T19:11:53Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop,bollywood,hindi pop,desi",Sony Music Entertainment India Pvt. Ltd.,0.571,0.729,10,-5.603,1,0.0481,0.198,0,0.103,0.378,140.062,4,https://i.scdn.co/image/ab67616d0000b273c8f85626cf23f8113c4e0ab9
